artist,song,emotion,variance,Genre,Release Date,Key,Tempo,Loudness,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness
ABBA,She's My Kind Of Girl,joy,0.447619048,pop,2014,F Maj,128,-6,No,31,78,56,60,3,31,7,0
ABBA,"Andante, Andante",love,0.202222222,pop,1980,A# Maj,102,-10.72,No,59,36,52,38,2,7,68,0
ABBA,As Good As New,sadness,0.300880759,pop,1979,E Maj,139,-5.7,No,50,78,85,97,3,8,20,2
ABBA,Bang,joy,0.355,pop,1975,F Maj,132,-3,No,52,76,50,89,3,32,3,0
ABBA,Bang-A-Boomerang,joy,0.355,pop,1975,F Maj,132,-3,No,52,76,50,89,3,32,3,0
ABBA,Burning My Bridges,anger,-0.339935065,pop,2013,C Maj,135,-7,No,34,92,40,43,4,31,9,0
ABBA,Cassandra,sadness,-0.097061347,pop,1981,C Maj,160,-12.62,No,39,35,32,42,4,7,72,0
ABBA,Chiquitita,sadness,0.105383838,pop,1979,A Maj,84,-8.11,No,74,55,50,37,4,31,73,0
ABBA,Crazy World,surprise,-0.20530303,pop,1975,G# Maj,135,-9.07,No,39,60,50,55,3,29,38,0
ABBA,Crying Over You,anger,-0.06875,pop,2007,C# Maj,130,-6.94,No,56,72,51,50,7,28,20,0
ABBA,Dance,sadness,0.023529412,pop,1974,G# Maj,132,-6,No,50,88,58,48,7,39,36,0
ABBA,Dancing Queen,joy,0.169307359,pop,1976,A Maj,101,-6.51,No,87,87,54,75,4,79,36,0
ABBA,Disillusion,joy,-0.022530864,pop,1973,G Maj,142,-12.9,No,36,37,58,44,3,11,50,0
ABBA,Does Your Mother Know,joy,0.190527066,pop,1979,G Maj,136,-5.68,No,71,86,73,98,4,9,15,0
ABBA,Dream World,joy,0.180547619,pop,1994,A Maj,128,-10.66,No,30,60,64,90,3,9,5,0
ABBA,Dum Dum Diddle,sadness,-0.213505747,pop,1976,E Maj,127,-7,No,46,82,67,88,3,31,23,0
ABBA,Eagle,joy,0.322068182,pop,1977,D Maj,85,-6.7,No,52,76,48,55,3,20,22,0
ABBA,Every Good Man,sadness,0.1,pop,1976,D Maj,107,-7.07,No,72,73,55,91,3,24,4,0
ABBA,Fernando,fear,0.15,pop,1976,A Maj,111,-8.88,No,72,54,35,43,3,8,63,0
